worker_id,experience_level,primary_skill
1,Beginner,Web Development
2,Beginner,App Development
3,Beginner,Web Development
4,Intermediate,Data Entry
5,Expert,Digital Marketing
6,Beginner,Customer Support
7,Beginner,Web Development
8,Beginner,Data Entry
9,Intermediate,Content Writing
10,Beginner,Data Entry
11,Beginner,App Development
12,Intermediate,Customer Support
13,Intermediate,Customer Support
14,Beginner,Data Entry
15,Beginner,App Development
16,Intermediate,Data Entry
17,Expert,Customer Support
18,Intermediate,Customer Support
19,Expert,Graphic Design
20,Beginner,Data Entry
21,Beginner,Seo
22,Expert,Data Entry
23,Intermediate,Customer Support
24,Beginner,Graphic Design
25,Expert,Graphic Design
26,Intermediate,Content Writing
27,Expert,App Development
28,Intermediate,Digital Marketing
29,Intermediate,Web Development
30,Intermediate,Web Development
31,Intermediate,Data Entry
32,Expert,Content Writing
33,Expert,Data Entry
34,Expert,Web Development
35,Expert,App Development
36,Expert,Customer Support
37,Intermediate,App Development
38,Beginner,App Development
39,Beginner,Graphic Design
40,Expert,Customer Support
41,Expert,Digital Marketing
42,Beginner,Customer Support
43,Intermediate,Content Writing
44,Expert,Graphic Design
45,Intermediate,Digital Marketing
46,Beginner,Content Writing
47,Beginner,Content Writing
48,Expert,Web Development
49,Intermediate,Graphic Design
50,Expert,Content Writing
51,Beginner,Seo
52,Intermediate,App Development
53,Expert,Content Writing
54,Expert,Digital Marketing
55,Expert,Web Development
56,Beginner,Data Entry
57,Expert,App Development
58,Intermediate,Web Development
59,Expert,Data Entry
60,Beginner,Graphic Design
61,Expert,Graphic Design
62,Beginner,Content Writing
63,Beginner,Seo
64,Intermediate,Graphic Design
65,Intermediate,Customer Support
66,Expert,Content Writing
67,Beginner,App Development
68,Beginner,Web Development
69,Intermediate,Graphic Design
70,Intermediate,Customer Support
71,Expert,Web Development
72,Beginner,Web Development
73,Intermediate,Seo
74,Expert,Graphic Design
75,Beginner,Web Development
76,Beginner,Seo
77,Intermediate,Seo
78,Expert,Graphic Design
79,Intermediate,Seo
80,Expert,Graphic Design
81,Beginner,Customer Support
82,Expert,Graphic Design
83,Expert,Data Entry
84,Expert,Web Development
85,Expert,Customer Support
86,Expert,Digital Marketing
87,Intermediate,Graphic Design
88,Expert,Web Development
89,Expert,App Development
90,Beginner,Seo
91,Expert,Content Writing
92,Beginner,Graphic Design
93,Intermediate,Seo
94,Intermediate,Seo
95,Expert,Seo
96,Intermediate,Seo
97,Expert,Seo
98,Intermediate,Graphic Design
99,Expert,App Development
100,Expert,Digital Marketing
101,Beginner,Data Entry
102,Beginner,Seo
103,Beginner,Seo
