job_id,worker_id,platform_id,region_id,project_id,date_id,earnings_usd,job_completed,job_duration_days,hourly_rate,job_success_rate,client_rating,rehire_rate,marketing_spend,is_gap_day
4704,1319,3,1,11,20250411,4610.5,191,9,45.81,61.58,4.32,82.59,418,0
7750,876,5,4,16,20250808,5593.28,63,27,126.52,72.36,4.4,67.29,237,0
11504,840,1,4,8,20250913,8006.26,63,59,32.62,64.27,3.88,23.61,263,0
7235,1456,3,6,12,20251018,7496.48,181,51,136.6,62.29,4.93,63.58,406,0
10270,365,5,4,12,20251003,4077.29,68,34,113.02,64.57,3.99,71.28,72,0
5016,1758,4,1,13,20250928,95.05,72,16,80.43,92.43,3.83,20.34,417,0
4443,1680,4,7,4,20251028,9366.07,268,40,76.84,81.46,3.16,51.98,258,0
9423,312,3,6,8,20251021,921.91,182,54,127.06,91.33,4.81,21.18,335,0
904,700,3,1,10,20251117,7112.12,250,38,77.98,90.34,3.45,18.24,374,0
2151,62,3,2,13,20250309,3030.12,128,29,110.38,62.11,4.67,86.82,90,0
1460,1107,4,7,11,20250903,9807.61,216,51,90.06,65.08,4.0,89.93,464,0
557,1306,5,3,11,20251114,488.5,66,16,75.02,72.47,3.87,86.78,386,0
11961,1156,2,2,1,20250223,2352.14,206,31,128.91,90.73,3.07,50.31,461,0
10003,1734,3,6,14,20251101,248.63,155,2,20.56,94.1,3.19,22.02,95,0
5173,774,3,4,5,20250621,1877.75,273,56,149.27,62.99,3.29,53.1,485,0
8281,1881,5,5,12,20250826,3602.72,99,38,83.68,70.73,4.71,24.23,314,0
5460,1906,2,2,16,20251102,1782.3,215,56,113.65,69.79,3.3,25.66,497,0
8638,1831,3,2,8,20251001,513.03,62,5,134.6,66.51,4.58,66.64,212,0
8252,1451,4,5,16,20250514,6828.95,268,10,83.07,81.38,4.48,49.41,22,0
837,164,2,1,10,20250921,4377.14,238,47,124.73,71.27,3.24,50.31,187,0
2563,64,1,5,8,20250402,4759.09,241,26,55.88,85.52,4.66,78.47,243,0
9802,1425,2,5,1,20250914,353.72,270,49,21.83,91.98,4.62,13.12,140,0
3059,1259,5,6,13,20250926,4759.09,145,57,24.26,79.74,3.35,86.71,360,0
1532,476,4,2,10,20250613,9182.2,129,55,35.4,75.32,4.79,21.35,13,0
3988,1507,2,1,8,20250519,9743.95,280,33,82.09,64.33,4.23,49.89,186,0
3388,1136,3,4,4,20250127,9155.29,84,22,64.51,73.06,4.0,49.85,147,0
4415,279,2,7,8,20250915,8409.26,296,29,112.89,64.43,4.2,62.55,450,0
8764,1838,5,5,10,20250923,2055.62,197,42,17.0,83.94,4.86,45.54,93,0
1618,654,4,1,13,20250603,4325.37,199,26,129.43,79.74,4.11,25.58,165,0
9475,1585,4,7,4,20251213,8747.86,105,59,94.98,78.79,3.61,87.08,236,0
9768,1272,2,2,15,20250922,7787.76,87,16,56.13,78.16,4.44,85.43,57,0
10853,257,1,3,11,20250715,7642.38,262,20,67.69,99.23,3.08,50.31,105,0
9705,1194,1,7,7,20251024,2728.09,62,7,58.13,61.8,4.91,64.56,270,0
6209,1039,3,4,14,20250506,8107.6,251,56,134.39,72.96,3.51,38.39,425,0
4331,1590,2,4,8,20250626,2019.2,132,58,66.96,67.66,3.61,54.26,37,0
7276,402,4,7,4,20250524,7306.51,189,42,97.92,86.72,3.74,24.46,182,0
4330,1731,5,5,11,20250313,2187.23,227,32,65.2,79.74,4.17,15.61,185,0
4194,77,1,7,11,20250519,2142.68,29,29,31.71,75.64,4.67,49.23,168,0
11170,267,2,1,6,20250911,4786.71,0,52,52.46,72.42,3.11,33.24,0,1
8529,1704,2,5,14,20250102,4039.12,199,14,89.91,84.69,4.58,15.19,439,0
5449,1548,2,2,5,20250721,5281.28,150,19,99.47,85.31,4.82,73.9,3,0
1237,1517,5,5,11,20250730,1660.2,160,51,21.75,72.59,4.73,49.2,226,0
9471,269,2,4,15,20250430,5971.38,110,57,28.95,95.18,3.89,47.2,428,0
12453,156,4,3,14,20250210,4759.09,18,21,86.85,92.49,4.89,89.79,410,0
1767,1798,1,2,6,20251123,2457.8,179,19,24.2,79.74,4.79,37.19,351,0
4058,796,5,5,8,20251019,4759.09,3,41,82.09,88.5,4.51,84.15,270,0
8949,1144,5,4,7,20250911,7245.46,78,28,104.98,62.55,3.4,18.68,112,0
3518,485,5,3,9,20250518,8664.51,117,24,123.26,94.44,4.85,18.57,303,0
9590,1480,4,5,16,20250529,1217.4,83,10,97.66,94.46,3.3,48.97,169,0
3614,202,1,7,16,20250911,855.03,175,35,135.47,95.74,4.81,71.33,10,0
11515,160,1,5,6,20250320,8005.51,22,32,98.76,93.12,3.83,16.97,97,0
1690,655,5,5,1,20250725,7414.88,73,16,72.3,79.74,4.71,32.23,16,0
8887,363,1,4,2,20251224,5795.4,102,32,109.11,88.46,3.06,30.27,110,0
7364,537,5,7,7,20250727,4231.81,66,6,63.98,99.76,3.6,14.88,402,0
100,78,3,7,13,20250325,8099.99,85,45,39.41,88.85,4.0,39.14,368,0
6037,1476,4,5,12,20250516,1228.53,265,54,143.28,71.78,4.58,41.71,303,0
5505,1802,5,6,14,20250101,3800.07,262,18,98.82,85.62,4.08,50.31,54,0
1014,1367,2,7,2,20250920,2508.32,212,5,148.63,93.59,3.72,28.03,134,0
908,1378,5,4,3,20251128,8640.94,20,55,121.4,79.74,4.63,60.25,398,0
7972,994,4,5,4,20250524,0.0,1,58,111.7,86.32,4.18,75.61,286,1
8962,358,1,7,11,20251114,843.92,271,45,18.69,92.81,4.62,85.68,287,0
3021,569,3,4,9,20250728,3795.56,5,47,123.81,98.75,4.0,14.37,138,0
3357,315,1,3,10,20250701,5228.99,283,4,42.71,63.11,3.38,88.0,370,0
2752,1810,3,3,12,20250213,1579.32,70,36,82.09,60.81,4.1,50.31,11,0
11397,1392,5,6,13,20251211,5648.71,160,53,18.98,96.25,4.06,87.26,442,0
8324,1918,5,2,7,20250806,4257.31,208,41,24.51,61.07,4.43,70.76,485,0
6486,742,4,4,5,20250224,4234.15,252,14,67.28,91.14,4.52,80.82,491,0
1007,1059,4,2,10,20250121,6883.73,40,22,54.19,67.96,3.97,10.46,397,0
11603,517,4,5,11,20250520,324.61,163,35,91.25,96.33,3.43,56.93,291,0
4492,1103,5,7,16,20251224,2668.29,120,14,44.55,74.85,4.47,52.56,354,0
7815,669,1,4,9,20250817,8074.66,290,55,70.91,67.3,4.09,33.17,34,0
7803,304,3,7,15,20250622,2164.22,122,26,81.46,66.8,3.46,16.84,481,0
151,899,2,5,1,20250915,7328.6,164,15,82.09,83.1,4.55,75.47,121,0
11066,1432,1,6,13,20250920,0.0,3,30,111.85,86.28,3.63,13.2,162,1
2705,1710,3,3,6,20250102,410.28,228,48,82.09,74.78,3.09,29.08,441,0
6114,148,1,6,5,20251009,5152.4,21,39,130.49,62.43,3.75,83.08,71,0
5997,1571,2,1,16,20250206,1794.54,156,15,83.89,81.45,4.76,37.77,104,0
1012,302,3,2,3,20250131,6675.82,300,1,83.88,81.22,3.61,50.31,163,0
11686,865,2,5,15,20250807,7272.33,221,9,102.61,96.56,4.53,50.31,5,0
11962,761,3,4,5,20250609,5296.45,60,41,146.2,71.49,4.82,56.21,435,0
2125,514,4,4,3,20250102,4194.91,246,45,124.41,78.72,4.55,14.23,222,0
9912,1852,4,4,14,20250821,6017.55,300,3,101.66,88.72,3.69,27.12,489,0
9300,174,4,3,8,20251013,1175.14,164,7,142.44,85.38,4.83,51.19,93,0
10559,876,2,5,16,20251224,1887.53,69,11,58.03,85.35,3.66,44.57,112,0
340,383,5,3,12,20251103,5334.82,231,36,138.45,71.83,3.53,39.37,0,0
12336,1655,3,1,5,20250918,101.41,32,57,77.94,98.98,3.2,29.87,476,0
2420,1374,2,7,11,20250111,2778.26,119,48,79.54,74.09,4.83,71.86,118,0
6076,219,1,2,2,20251209,4759.09,92,3,42.41,77.19,4.53,41.76,88,0
6163,1338,2,7,16,20250513,9405.76,211,22,129.92,94.86,3.19,73.9,428,0
4063,827,5,7,11,20250106,1564.12,208,16,61.35,79.74,4.57,68.76,397,0
4716,1381,5,1,16,20251212,9487.65,215,57,50.64,89.91,3.45,80.05,81,0
10819,768,4,3,10,20250315,8973.83,61,42,125.35,73.1,4.24,25.96,197,0
