job_id,worker_id,platform,client_region,project_type,job_category,payment_method,work_date,earnings_usd,job_completed,job_duration_days,hourly_rate,job_success_rate,client_rating,rehire_rate,marketing_spend
4704,1319,Upwork,Asia,Hourly,Graphic Design,PayPal,2025-04-11,4610.5,191,9,45.81,61.58,4.32,82.59,418
7750,876,Freelancer,Europe,Fixed,Seo,Crypto,2025-08-08,5593.28,63,27,126.52,72.36,4.4,67.29,237
11504,840,Fiverr,Europe,Fixed,Content Writing,Crypto,2025-09-13,8006.26,63,59,32.62,64.27,3.88,23.61,263
7235,1456,Upwork,Middle East,Hourly,Seo,Crypto,2025-10-18,7496.48,181,51,136.6,62.29,4.93,63.58,406
10270,365,Freelancer,Europe,Hourly,Seo,PayPal,2025-10-03,4077.29,68,34,113.02,64.57,3.99,71.28,72
5016,1758,Toptal,Asia,Fixed,Graphic Design,Direct Deposit,2025-09-28,95.05,72,16,80.43,92.43,3.83,20.34,417
4443,1680,Toptal,CANADA,Hourly,Data Entry,PayPal,2025-10-28,9366.07,268,40,76.84,81.46,3.16,51.98,258
9423,312,Upwork,middle east,Fixed,Content Writing,Direct Deposit,2025-10-21,921.91,182,54,127.06,91.33,4.81,21.18,335
904,700,Upwork,Asia,Hourly,Customer Support,Bank Transfer,2025-11-17,7112.12,250,38,77.98,90.34,3.45,18.24,374
2151,62,Upwork,AUSTRALIA,Fixed,Graphic Design,Bank Transfer,2025-03-09,3030.12,128,29,110.38,62.11,4.67,86.82,90
1460,1107,Toptal,Canada,Hourly,Graphic Design,Crypto,2025-09-03,9807.61,216,51,90.06,65.08,,89.93,464
557,1306,Freelancer,uk,Hourly,  Graphic Design  ,Mobile Banking,2025-11-14,488.5,66,16,75.02,72.47,3.87,86.78,386
11961,1156,Peopleperhour,Australia,Fixed,Web Development,Crypto,2025-02-23,2352.14,206,31,128.91,90.73,3.07,,461
10003,1734,UPWORK,Middle East,Hourly,Content Writing,PayPal,2025-11-01,248.63,155,2,20.56,94.1,3.19,22.02,95
5173,774,Upwork,Europe,Hourly,Digital Marketing,Mobile Banking,2025-06-21,1877.75,273,56,149.27,62.99,3.29,53.1,485
8281,1881,Freelancer,Usa,Hourly,Seo,Direct Deposit,2025-08-26,3602.72,99,38,83.68,70.73,4.71,24.23,314
5460,1906,Peopleperhour,Australia,Fixed,Seo,Bank Transfer,2025-11-02,1782.3,215,56,113.65,69.79,3.3,25.66,497
8638,1831,uPWORK,Australia,Fixed,Content Writing,Mobile Banking,2025-10-01,513.03,62,5,134.6,66.51,4.58,66.64,212
8252,1451,toptal,Usa,Fixed,Seo,PayPal,2025-05-14,6828.95,268,10,83.07,81.38,4.48,49.41,22
837,164,Peopleperhour,Asia,Hourly,Customer Support,PayPal,2025-09-21,4377.14,238,47,124.73,71.27,3.24,,187
2563,64,Fiverr,Usa,Fixed,Content Writing,Bank Transfer,2025-04-02,,241,26,55.88,85.52,4.66,78.47,243
9802,1425,Peopleperhour,Usa,Fixed,Web Development,PayPal,2025-09-14,353.72,270,49,21.83,91.98,4.62,13.12,140
3059,1259,Freelancer,Middle East,Fixed,Graphic Design,Bank Transfer,2025-09-26,,145,57,24.26,,3.35,86.71,360
1532,476,Toptal,Australia,Hourly,Customer Support,Mobile Banking,2025-06-13,9182.2,129,55,35.4,75.32,4.79,21.35,13
3988,1507,Peopleperhour,Asia,Fixed,Content Writing,Bank Transfer,2025-05-19,9743.95,280,33,,64.33,4.23,49.89,186
3388,1136,Upwork,Europe,Hourly,Data Entry,Crypto,2025-01-27,9155.29,84,22,64.51,73.06,,49.85,147
4415,279,Peopleperhour,Canada,Fixed,Content Writing,Crypto,2025-09-15,8409.26,296,29,112.89,64.43,4.2,62.55,450
8764,1838,Freelancer,Usa,Hourly,Customer Support,PayPal,2025-09-23,2055.62,197,42,17.0,83.94,4.86,45.54,93
1618,654,Toptal,Asia,Fixed,Graphic Design,Mobile Banking,2025-06-03,4325.37,199,26,129.43,,4.11,25.58,165
9475,1585,Toptal,Canada,Hourly,Data Entry,Crypto,2025-12-13,8747.86,105,59,94.98,78.79,3.61,87.08,236
9768,1272,Peopleperhour,Australia,Fixed,  Digital Marketing  ,Bank Transfer,2025-09-22,7787.76,87,16,56.13,78.16,4.44,85.43,57
10853,257,Fiverr,Uk,Hourly,Graphic Design,Direct Deposit,2025-07-15,7642.38,262,20,67.69,99.23,3.08,,105
9705,1194,Fiverr,Canada,Fixed,Data Entry,Direct Deposit,2025-10-24,2728.09,62,7,58.13,61.8,4.91,64.56,270
6209,1039,Upwork,Europe,Hourly,Content Writing,Bank Transfer,2025-05-06,8107.6,251,56,134.39,72.96,3.51,38.39,425
4331,1590,Peopleperhour,Europe,Fixed,Content Writing,Mobile Banking,2025-06-26,2019.2,132,58,66.96,67.66,3.61,54.26,37
7276,402,Toptal,Canada,Hourly,Data Entry,Mobile Banking,2025-05-24,7306.51,189,42,97.92,86.72,3.74,24.46,182
4330,1731,Freelancer,Usa,Hourly,Graphic Design,Crypto,2025-03-13,2187.23,227,32,65.2,,4.17,15.61,185
4194,77,Fiverr,Canada,Hourly,Graphic Design,Direct Deposit,2025-05-19,2142.68,29,29,31.71,75.64,4.67,49.23,168
11170,267,Peopleperhour,Asia,Fixed,Customer Support,Crypto,2025-09-11,4786.71,0,52,52.46,72.42,3.11,33.24,0
8529,1704,Peopleperhour,Usa,Hourly,Content Writing,Crypto,2025-01-02,4039.12,199,14,89.91,84.69,4.58,15.19,439
5449,1548,Peopleperhour,Australia,Hourly,Digital Marketing,Mobile Banking,2025-07-21,5281.28,150,19,99.47,85.31,4.82,73.9,3
1237,1517,Freelancer,Usa,Hourly,Graphic Design,Mobile Banking,2025-07-30,1660.2,160,51,21.75,72.59,4.73,49.2,226
9471,269,Peopleperhour,Europe,Fixed,Digital Marketing,Direct Deposit,2025-04-30,5971.38,110,57,28.95,95.18,3.89,47.2,428
12453,156,Toptal,Uk,Hourly,Content Writing,PayPal,2025-02-10,,18,21,86.85,92.49,4.89,89.79,410
1767,1798,Fiverr,Australia,Fixed,Customer Support,Crypto,2025-11-23,2457.8,179,19,24.2,,4.79,37.19,351
4058,796,Freelancer,Usa,Fixed,Content Writing,Direct Deposit,2025-10-19,,3,41,,88.5,4.51,84.15,270
8949,1144,Freelancer,Europe,Fixed,Data Entry,Bank Transfer,2025-09-11,7245.46,78,28,104.98,62.55,3.4,18.68,112
3518,485,Freelancer,Uk,Hourly,App Development,Direct Deposit,2025-05-18,8664.51,117,24,123.26,94.44,4.85,18.57,303
9590,1480,Toptal,Usa,Fixed,Seo,PayPal,2025-05-29,1217.4,83,10,97.66,94.46,3.3,48.97,169
3614,202,FIVERR,Canada,Fixed,Seo,PayPal,2025-09-11,855.03,175,35,135.47,95.74,4.81,71.33,10
11515,160,Fiverr,USA,Fixed,Customer Support,Bank Transfer,2025-03-20,8005.51,22,32,98.76,93.12,3.83,16.97,97
1690,655,Freelancer,Usa,Fixed,Web Development,Bank Transfer,2025-07-25,7414.88,73,16,72.3,,4.71,32.23,16
8887,363,Fiverr,Europe,Fixed,App Development,Crypto,2025-12-24,5795.4,102,32,109.11,88.46,3.06,30.27,110
7364,537,Freelancer,Canada,Fixed,Data Entry,Direct Deposit,2025-07-27,4231.81,66,6,63.98,99.76,3.6,14.88,402
100,78,Upwork,Canada,Fixed,Graphic Design,PayPal,2025-03-25,8099.99,85,45,39.41,88.85,,39.14,368
6037,1476,tOPTAL,Usa,Hourly,Seo,Crypto,2025-05-16,1228.53,265,54,143.28,71.78,4.58,41.71,303
5505,1802,Freelancer,middle east,Hourly,Content Writing,Crypto,2025-01-01,3800.07,262,18,98.82,85.62,4.08,,54
1014,1367,Peopleperhour,Canada,Fixed,App Development,Mobile Banking,2025-09-20,2508.32,212,5,148.63,93.59,3.72,28.03,134
908,1378,FREELANCER,Europe,Hourly,Web Development,Crypto,2025-11-28,8640.94,20,55,121.4,,4.63,60.25,398
